"id","a4a","a6a","a2","a0","b1","b5","b7a","d1a1x","g1a","BMj4c","j30_environment_pos","BMj5","n2a","n2e","n2b","n2f","n2i","n2p","BMGa1","BMGa2","BMGa4","BMGb1","BMGb2","BMGc2","BMGc5","BMGc7","BMGc8","BMGc16","BMGc18","BMGc23a","BMGc23b","BMGc23c","BMGc23d","BMGc23e","BMGc23f","BMGc23g","BMGc23h","BMGc23i","BMGc23j","BMGc24","BMGc25","BMGc27","BMGd6","BMGd7","BMGe1","BMGe2","BMGe2u"
"3164","Розничная торговля","Средний","Уральский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Розничная Продажа Пищевых продуктов, Включая Напитки И Табачные Изделия","Не применимо","Не является препятствием","4","Окружающая Среда","7600000","","Не знаю","Не знаю","Не знаю","","Нет","Нет","Да","Нет","Нет","Каждый месяц","","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Да","Нет","Да","Да","Другие меры по борьбе с загрязнением","Да","","Нет","Да","Не знаю","Не знаю",""
"3175","Другое Производство","Средний","Уральский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Производство Гофрированной бумаги И Картона, Бумажной И Картонной Упаковки","0","Не является препятствием","9","Окружающая Среда","Не знаю","Не знаю","Не знаю","Не знаю","","Не знаю","Нет","Нет","Да","Нет","Нет","Каждый месяц","Каждый месяц","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Да","Да","Управление энергопотреблением","Да","","Нет","Да","Не знаю","Не знаю",""
"3177","Другие Услуги","Малый","Уральский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2013","Да","Оптовая Торговля Автохимическими Товарами","0","Не является препятствием","8","Окружающая Среда","2520000","","50000","960000","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Да","Нет","Да","Да","Другие меры по борьбе с загрязнением","Да","","Нет","Да","Не знаю","Не знаю",""
"3404","Другое Производство","Крупный","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Полиграфия, Предоставление Полиграфических Услуг","100","Незначительное препятствие","8","Окружающая Среда","51360000","6000000","327000","360000","","58047000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3405","Другое Производство","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Печать газет, Журналов","Не применимо","Не является препятствием","2","Окружающая Среда","Не знаю","Не знаю","Не знаю","Не знаю","","Не знаю","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Да","Нет","Нет","Да","Другие меры по борьбе с загрязнением","Да","","Нет","Да","Не знаю","Не знаю",""
"3410","Другое Производство","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2005","Нет","Производство Пластмассовых Изделий","100","Не является препятствием","3","Транспорт","20300000","1100000","210000","150000","","23000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3414","Неметаллические Минеральные продукты","Малый","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1999","Нет","Производство Сухих Бетонных Смесей","100","Не является препятствием","7","Образование","6000000","1700000","160000","140000","","8000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3417","Готовые Металлические Изделия","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2009","Нет","Производство Строительных Металлоконструкций И Изделий из них","100","Незначительное препятствие","1","Транспорт","35000000","10000000","400000","Не знаю","","46000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3418","Готовые Металлические Изделия","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1992","Нет","Металлообработка И Нанесение покрытий","100","Не является препятствием","8","Окружающая Среда","58000000","20000000","400000","Не знаю","","80000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Да","Да","Нет","Нет","Нет","Да","Да","Нет","Усовершенствования системы освещения","Да","","Нет","Нет","Не знаю","0",""
"3420","Машины и оборудование","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2017","Нет","Производство Гидравлического И Пневматического Оборудования","0","Не является препятствием","8","Окружающая Среда","37000000","4000000","180000","210000","","42000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3422","Машины и оборудование","Крупный","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2008","Нет","Оказание Услуг по Ремонту Скважинного Насосного оборудования","100","Не является препятствием","2","Транспорт","240600000","8000000","316000","374000","","250700000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3438","Неметаллические Минеральные продукты","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2011","Нет","Производство Стекла И Изделий из Него","100","Не является препятствием","9","Энергетика","60000000","15000000","165000","Не знаю","","75000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не выгодно","Нет","Нет","Не знаю","Не знаю",""
"3452","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Оптовая Торговля Продуктами Питания, Алкоголем, Сигаретами","100","Незначительное препятствие","8","Окружающая Среда","3000000","","300000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","3200","0",""
"3455","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2006","Да","Розничная Торговля Алкогольными напитками","80","Не является препятствием","4","Окружающая Среда","1800000","","600000","400000","1200000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Не применимо","Нет","Нет","Не применимо","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3468","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2014","Нет","Оптовая Торговля Мясными Продуктами (Субпродуктами, Полуфабрикатами)","0","Незначительное препятствие","8","Окружающая Среда","15000000","","1100000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Неопределенность в отношении регулирования","Нет","Нет","4200","0",""
"3469","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2013","Да","Оптовая Торговля Машинами И Оснащением Для Добычи Полезных Ископаемых, Разработки Карьеров И Строительства","0","Незначительное препятствие","8","Транспорт","3000000","","60000","50000","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","Да","Нет","Да","Нет","Управление энергопотреблением","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","Не знаю",""
"3472","Машины и оборудование","Крупный","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1992","Нет","Производство Теплообменников, Оборудования Для Кондиционирования Воздуха, Холодильного И Морозильного Оборудования, А Также Оборудования Для Фильтрации И Очистки Газов","100","Незначительное препятствие","8","Здоровье","130200000","15000000","532000","427000","","156000000","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","Не знаю","0",""
"3483","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2017","Да","Розничная Торговля Фруктами И Овощами","0","Не является препятствием","7","Окружающая Среда","2150000","","70000","100000","2600000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Не применимо","Нет","Нет","Не применимо","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","Не знаю","0",""
"3489","Розничная торговля","Средний","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2003","Да","Розничная Продажа Продуктов Питания, Напитков И Табака","100","Не является препятствием","1","Транспорт","24900000","","300000","Не знаю","7000000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Не применимо","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3491","Розничная торговля","Средний","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Да","Розничная Торговля продуктами питания","100","Не является препятствием","4","Транспорт","31000000","","270000","Не знаю","10000000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Не применимо","Нет","Нет","Нет","Нет","","Нет","Не выгодно","Нет","Нет","Не знаю","0",""
"3498","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2013","Да","Оптовая Торговля металлом.","Не применимо","Не является препятствием","9","Окружающая Среда","4320000","","94000","Не знаю","","","Да","Нет","Да","Нет","Нет","Каждый месяц","","Да","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Да","Да","Усовершенствования системы освещения","Да","","Нет","Да","Не знаю","Не знаю",""
"3499","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2009","Да","Деятельность В Области Связи, Основанной На Проводных Технологиях","100","Не является препятствием","8","Информационные и Коммуникационные Технологии ","6700000","","140000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Не применимо","Нет","Нет","Нет","Не применимо","Не применимо","Не применимо","Не применимо","Нет","Не применимо","","Нет","Неопределенность в отношении будущих цен","Нет","Нет","Не знаю","0",""
"3513","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2009","Нет","Оптовая Торговля Шинами, Дисками, Аккумуляторами","100","Не является препятствием","4","Окружающая Среда","6000000","","400000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","Не знаю","0",""
"3516","Еда","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2017","Нет","Производство продуктов питания. Мясные полуфабрикаты. Копчености.","0","Незначительное препятствие","1","Образование","12000000","20000000","Не знаю","Не знаю","","34000000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","","Нет","Не знаю","Нет","Нет","30000","0",""
"3517","Еда","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1996","Нет","Производство сельскохозяйственной продукции: Молока и молочных продуктов (Молоко, Творог, Сметана, кумыс и др.)","90","Очень серьезное препятствие","4","Другое","21000000","20000000","1500000","4500000","","52000000","Нет","Нет","Да","Да","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Да","Нет","Да","Не применимо","Нет","Нет","Нет","Да","Нет","Нет","Модернизация транспортных средств","Нет","Неопределенность в отношении будущих цен","Нет","Нет","Не знаю","Не знаю",""
"3520","Готовые Металлические Изделия","Малый","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2008","Нет","Производство И Монтаж Деревянных Лестничных Конструкций","0","Среднее препятствие","8","Образование","5000000","4600000","100000","Не знаю","","12300000","Нет","Нет","Да","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Не применимо","Не применимо","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Да","Нет","10000","Не знаю",""
"3528","Другое Производство","Крупный","Приволжский федеральный округ","Другие услуги","Акционерное общество, акции которого обращаются на фондовом рынке","2002","Нет","Производство Сантехнических Работ, Монтаж Систем Отопления И Кондиционирования Воздуха","0","Незначительное препятствие","6","Окружающая Среда","190000000","","870000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","Каждый квартал","","Нет","","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Да","Нет","Ничего из вышеперечисленного  ","Нет","Не выгодно","Нет","Нет","Не знаю","Не знаю",""
"3529","Другое Производство","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1996","Нет","Производство Мягкой, Корпусной И Офисной Мебели","0","Среднее препятствие","2","Информационные и Коммуникационные Технологии ","Не знаю","Не знаю","Не знаю","Не знаю","","Не знаю","Нет","Нет","Да","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","12500","0",""
"3531","Неметаллические Минеральные продукты","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2007","Нет","Производство Бессер-Блоков И Тротуарной плитки","100","Серьезное препятствие","3","Энергетика","7000000","8500000","700000","800000","","21000000","Нет","Нет","Нет","Нет","Нет","Каждую неделю","Каждую неделю","Нет","","Нет","Нет","Нет","Нет","Да","Да","Да","Нет","Да","Да","Да","Нет","Управление водными ресурсами","Да","","Нет","Нет","Не знаю","Не знаю",""
"3535","Машины и оборудование","Малый","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1999","Нет","Производство, Ремонт и Техническое Обслуживание Грузоподъемных Механизмов: Мостовых, Козловых Кранов, Автокранов, Подкрановых Балок.","0","Не является препятствием","8","Энергетика","Не знаю","Не знаю","Не знаю","Не знаю","","Не знаю","Нет","Нет","Нет","Нет","Нет","Каждую неделю","","Нет","","Да","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Нет","Да","Нет","Управление энергопотреблением","Да","","Нет","Нет","115000","2000","Литры"
"3539","Другое Производство","Крупный","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1945","Нет","Производство кабельной продукции. Кабели силовые, автомобильные, телефонные и т.д.","100","Среднее препятствие","3","Энергетика","460000000","583000000","52700000","6500000","","1200000000","Нет","Нет","Да","Нет","Нет","Каждую неделю","Каждый месяц","Да","Нет","Да","Нет","Да","Да","Да","Да","Да","Да","Нет","Да","Да","Да","Меры по борьбе с загрязнением воздуха","Да","","Да","Да","Не знаю","Не знаю",""
"3544","Машины и оборудование","Крупный","Приволжский федеральный округ","Производство","Акционерное общество, акции которого обращаются на фондовом рынке","1967","Нет","Производство Высокотехнологичного оборудования Для Нефтегазовой промышленности","80","Серьезное препятствие","2","Энергетика","1000000000","1500000000","1400000","Не знаю","","Не знаю","Да","Да","Не знаю","Нет","Нет","Каждую неделю","Каждую неделю","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да","Да","Не знаю","Модернизация машин и оборудования","Да","","Да","Нет","Не знаю","Не знаю",""
"3546","Другое Производство","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2013","Нет","Производство Корпусной и Мягкой мебели: Кухонь, Прихожих, Диванов, Кресел и т.д.","0","Незначительное препятствие","3","Информационные и Коммуникационные Технологии ","15000000","15000000","2500000","500000","","38000000","Да","Нет","Да","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не выгодно","Нет","Нет","Не знаю","Не знаю",""
"3553","Другие Услуги","Средний","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2017","Нет","Строительство Многоквартирных Домов, Производственных Нежилых помещений","0","Среднее препятствие","1","Другое","Не знаю","","Не знаю","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не выгодно","Да","Да","Не знаю","Не знаю",""
"3554","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2012","Нет","Строительство Малоэтажных домов и Коттеджей","100","Не является препятствием","7","Информационные и Коммуникационные Технологии ","Не знаю","","Не знаю","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Операционный и/ или технический риск","Нет","Нет","6000","500","Литры"
"3563","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1999","Нет","Оптовая Торговля Компьютерной И Офисной Техникой (Принтеры, Сканеры, Модемы, Копировальные Аппараты, Расходные материалы, Ноутбуки и т.д.)","0","Не является препятствием","1","Энергетика","Не знаю","","Не знаю","Не знаю","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Не применимо","Не применимо","Нет","Нет","Нет","Не применимо","Не применимо","Не применимо","Нет","Нет","","Нет","Не знаю","Нет","Нет","Не знаю","Не знаю",""
"3567","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2017","Да","Одежда оптом. Продажа Спортивной одежды для клубов и Команд: Игровая форма, Спортивные костюмы, Верхняя одежда и т.д.","0","Не является препятствием","2","Информационные и Коммуникационные Технологии ","900000","","15000","0","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не знаю","Нет","Нет","3500","0",""
"3569","Готовые Металлические Изделия","Малый","Приволжский федеральный округ","Другие услуги","Акционерное общество, акции которого обращаются на фондовом рынке","2017","Нет","Оказание Услуг по Перевозке грузов Наземным Грузовым Транспортом","0","Среднее препятствие","7","Транспорт","8000000","","5000","6000000","","","Нет","Нет","Нет","Нет","Нет","","","Да","Да","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Да","Нет","Не знаю","120","Тонны"
"3570","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","1999","Нет","Розничная Торговля Сантехникой","100","Среднее препятствие","1","Другое","4500000","","350000","150000","25000000","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Нет","Нет","Да","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","Нет","Управление водными ресурсами","Нет","Операционный и/ или технический риск","Нет","Нет","Не знаю","Не знаю",""
"3571","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2012","Нет","Оптовая Торговля Программным Обеспечением","0","Не знаю","4","Информационные и Коммуникационные Технологии ","350000","","20000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Нет","Нет","5000","Не знаю",""
"3575","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2003","Нет","Оптовая Торговля бытовой химией (Мыло, Шампунь, Чистящие Средства) И Канцелярскими принадлежностями (Бумага, Ручки и т.д.)","0","Не знаю","2","Здоровье","Не знаю","","Не знаю","Не знаю","","","Нет","Нет","Нет","Нет","Нет","","","Нет","","Не знаю","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Операционный и/ или технический риск","Нет","Нет","Не знаю","Не знаю",""
"3582","Другие Услуги","Малый","Приволжский федеральный округ","Другие услуги","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2016","Нет","Оптовая Торговля Офисной Техникой - Принтеры, Копировальные Аппараты, Картриджи К Ним, Тонеры","0","Не является препятствием","2","Энергетика","1500000","","10000","Не знаю","","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Другое","Нет","Нет","2500","0",""
"3583","Розничная торговля","Средний","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2006","Нет","Розничная Продажа Строительных Материалов: Стеновых Материалов, Металлических Материалов, Изоляционных Материалов, Сыпучих Материалов и т.д.","100","Не является препятствием","5","Образование","18000000","","Не знаю","1500000","Не знаю","","Нет","Нет","Да","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","","Нет","Не знаю","Нет","Нет","Не знаю","30","Тонны"
"3593","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2014","Нет","Розничная Торговля Продуктами Питания","100","Серьезное препятствие","8","Образование","Не знаю","","Не знаю","Не знаю","Не знаю","","Нет","Нет","Нет","Нет","Нет","Каждую неделю","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Да","","Да","Нет","Не знаю","0",""
"3594","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2015","Да","Розничная продажа Спортивной одежды и Обуви: Кроссовок, Костюмов, Футболок, Шорт, Носков и т.д.","0","Не является препятствием","9","Образование","800000","","55000","0","3000000","","Нет","Нет","Да","Нет","Нет","","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Другое","Нет","Нет","Не знаю","0",""
"3596","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2004","Нет","Розничная Торговля продуктами питания","50","Не применимо","9","Информационные и Коммуникационные Технологии ","Не знаю","","Не знаю","Не знаю","Не знаю","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","","Не знаю","","Нет","Нет","12000","Не знаю",""
"3598","Розничная торговля","Малый","Приволжский федеральный округ","Розничная торговля","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2007","Да","Розничная Продажа Бытовой Химии: Мыла, Шампуней, Средств гигиены, Чистящих средств и т.д.","0","Не знаю","2","Здоровье","1200000","","10000","0","Не знаю","","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Не является приоритетом по сравнению с другими инвестициями","Нет","Нет","3500","0",""
"3601","Еда","Крупный","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","2002","Нет","Производство Хлебобулочных изделий","100","Среднее препятствие","1","Образование","Не знаю","7000000","700000","200000","","Не знаю","Да","Да","Да","Нет","Нет","Каждый день","Каждый месяц","Нет","","Да","Нет","Да","Да","Нет","Да","Да","Нет","Нет","Нет","Да","Нет","Управление энергопотреблением","Да","","Да","Да","250000","Не знаю",""
"3602","Еда","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","Не знаю","Нет","Производство молочных Продуктов","80","Среднее препятствие","3","Образование","45000000","28000000","1500000","2500000","","Не знаю","Нет","Нет","Нет","Да","Нет","Каждый месяц","Каждый месяц","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Да","Нет","Нет","Да","Да","Не знаю","Минимизация отходов, вторичная переработка и управление отходами","Да","","Да","Нет","750000","20000","Литры"
"3614","Предметы одежды","Средний","Приволжский федеральный округ","Производство","Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке","Не знаю","Да","Пошив и Ремонт Одежды: Верхняя Одежда, Платья И Другие Виды Одежды","0","Не знаю","6","Не знаю","2000000","500000","100000","0","","6500000","Нет","Нет","Нет","Нет","Нет","Каждый месяц","","Нет","","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","Нет","","Нет","Нехватка финансовых ресурсов","Да","Нет","Не знаю","Не знаю",""
